solver,activation_function,hidden_layers,learning_rate,accuracy,precision,recall,f1_score,fit_time,total_epochs
adam,logistic,[59],0.0509,0.9514,0.9508815835868022,0.9511368811617735,0.9508156659538478,11.7,12
lbfgs,logistic,"[31, 83, 71, 12]",0.012,0.1135,0.01135,0.1,0.0203861697350696,6.4,3
lbfgs,identity,"[60, 87]",0.0458,0.9247,0.9237861448855439,0.9236055463423579,0.9236224191416292,96.4,250
lbfgs,relu,[65],0.087,0.9705,0.9702437387851026,0.9702286256601438,0.9702258717426918,74.9,231
adam,logistic,[68],0.0572,0.9597,0.9590665654880108,0.9593841253356153,0.959180083077593,26.6,22
lbfgs,relu,"[97, 99, 66, 12]",0.0029,0.9724,0.9720909621170224,0.9721314290189454,0.9720978731253345,154.5,225
lbfgs,logistic,[36],0.0678,0.957,0.9565266786793588,0.9563835032934227,0.9564049909949575,63.0,169
lbfgs,relu,[20],0.09,0.9433,0.9425195189023796,0.9426544793343956,0.9425482033415946,41.9,250
lbfgs,relu,"[98, 40, 13, 13, 99, 95]",0.0077,0.9675,0.967366522901032,0.9671583802339292,0.9672455221539094,203.3,250
lbfgs,logistic,[56],0.0037,0.9684,0.9681923974185924,0.9680333686196277,0.9681013433058402,68.4,139
adam,relu,"[83, 26]",0.045,0.9458,0.9466714216175041,0.9451058115112618,0.9451436114636161,11.7,12
adam,identity,"[87, 50, 93, 59, 28]",0.0639,0.9164,0.9165595109693964,0.9152138947451404,0.9155359769615258,12.2,10
lbfgs,identity,"[64, 21, 67]",0.0525,0.9256,0.9246607170335592,0.9245132776740203,0.9245142908176502,84.5,250
adam,tanh,[48],0.0034,0.9653,0.965157153360755,0.9649185889927561,0.9649494509503125,7.9,16
adam,logistic,"[3, 87]",0.0317,0.7885,0.7822094449321,0.7835886170346966,0.7796198292450252,7.0,11
sgd,logistic,"[96, 55]",0.0704,0.9747,0.9745386167918533,0.9743949112162126,0.9744381433859264,40.4,33
adam,tanh,"[61, 77, 52, 28, 86]",0.03,0.8978,0.8983484114408453,0.897597604093449,0.8967801767812495,7.1,6
lbfgs,logistic,"[30, 45]",0.0623,0.9575,0.9569992202238659,0.9569895821836045,0.9569666389748234,128.4,244
lbfgs,identity,"[49, 68, 62, 35]",0.0273,0.925,0.9241580210481933,0.9239283084587857,0.9239688629078635,105.3,250
adam,relu,"[81, 16, 55, 76, 43]",0.0599,0.1135,0.01135,0.1,0.0203861697350696,5.4,5
sgd,relu,[17],0.0637,0.9531,0.9528713251856555,0.9526038951730111,0.9526247565329691,2.8,9
sgd,relu,[3],0.0623,0.8068,0.8033142013681733,0.8031406074610308,0.8018712087334998,3.6,15
adam,tanh,[45],0.0572,0.9319,0.9315853617676687,0.9317302659268742,0.9312085706938309,7.8,15
sgd,relu,[15],0.0721,0.9508,0.9504232731256284,0.9501817405347227,0.9502396348202302,7.4,26
sgd,relu,"[96, 55]",0.0688,0.9762,0.976021959727716,0.9759887854747538,0.9759612588899236,12.1,16
adam,identity,"[36, 87]",0.0934,0.9039,0.9044921587713002,0.9032121100836324,0.9026401891124909,3.4,6
sgd,logistic,[92],0.0485,0.9754,0.9751935563755835,0.975157569266667,0.9751697615478232,47.9,52
sgd,identity,[77],0.0242,0.9251,0.9243419546040034,0.9239939838764819,0.924024312277068,6.9,13
lbfgs,identity,"[9, 38, 58, 53, 91]",0.0676,0.9234,0.9223768660357564,0.9222017672624361,0.9222090822811315,86.6,250
adam,identity,"[71, 39]",0.0691,0.9041,0.9047095967054298,0.9023684368916285,0.9021532617317213,4.7,6
lbfgs,relu,[91],0.079,0.9766,0.9765785428346853,0.97638268231875,0.9764698112789187,82.1,188
sgd,logistic,"[69, 73]",0.0454,0.9753,0.97515692434757,0.9749582929309317,0.9750452198137131,45.3,40
adam,relu,"[54, 66, 99]",0.0351,0.9404,0.9401465489886232,0.9398348551596974,0.9397740951679647,11.6,12
lbfgs,relu,[36],0.0104,0.9619,0.9616991531139029,0.9615197424546347,0.961586914565752,61.0,250
sgd,identity,[44],0.0688,0.9222,0.9211735664681013,0.9213762755341198,0.9211310626774726,5.0,12
sgd,tanh,"[34, 42]",0.0599,0.964,0.96363064201735,0.9637094919635045,0.9636136558527474,5.3,11
sgd,identity,"[84, 40, 11]",0.0351,0.9182,0.9175488706245846,0.9166970410904428,0.9168462322142057,5.9,8
adam,tanh,[34],0.0826,0.9178,0.9187129433766843,0.9168492092683671,0.917328882429951,4.6,11
lbfgs,logistic,"[35, 51, 33]",0.046,0.9578,0.9575168704769942,0.9572406995368429,0.957275776338121,193.8,250
adam,relu,[41],0.0535,0.9401,0.939691604711421,0.9393043506490508,0.9393152060467909,3.2,6
sgd,tanh,[10],0.0932,0.9288,0.9280471493124157,0.9277587409723512,0.927830152045672,3.1,12
lbfgs,logistic,"[55, 19, 73]",0.0516,0.9645,0.9642705032585666,0.964022773732809,0.9641028246426885,236.9,250
lbfgs,relu,"[73, 42, 65, 25, 92, 17, 14]",0.0998,0.96,0.9595355573957484,0.9596089314404406,0.9595600030754863,184.1,250
adam,relu,[26],0.0788,0.9137,0.9150552935434708,0.912827779232153,0.9129257136515877,4.9,11
sgd,logistic,[69],0.0371,0.9706,0.970509672596458,0.9702761510226544,0.9703453729204942,37.0,52
lbfgs,tanh,"[29, 29]",0.0685,0.9574,0.9571119282082604,0.9569232304600508,0.9569985289881302,49.7,211
lbfgs,logistic,"[68, 50]",0.0583,0.9683,0.9680023158031446,0.9678333782841266,0.9678951358070152,176.4,206
lbfgs,logistic,[6],0.0621,0.9128,0.9113585019689552,0.9115763146153292,0.9114128968771192,36.3,250
sgd,relu,"[8, 69]",0.0652,0.9407,0.9410576583392587,0.9396249646524986,0.9399307107812994,4.0,10
sgd,relu,[36],0.0205,0.9714,0.971024650229815,0.9711707296988175,0.9710883518170469,8.5,22
sgd,relu,[44],0.05,0.9682,0.9681447429903249,0.9680010650994566,0.9679761925334589,7.1,15
sgd,tanh,[73],0.0966,0.9752,0.9751093906676326,0.974977587460294,0.9750161942187935,8.6,16
sgd,identity,[13],0.0426,0.924,0.9230231894334848,0.9230745832925376,0.9229617610484017,5.2,19
adam,tanh,"[7, 82]",0.0799,0.8526,0.85052658535439,0.8501649906280866,0.8496684973155849,3.4,9
lbfgs,tanh,"[98, 14, 88, 45, 23, 21]",0.0116,0.9689,0.968755782245843,0.9684450407420245,0.9685366957562845,168.5,250
lbfgs,tanh,"[48, 69, 33, 86]",0.0866,0.9699,0.9697428796632218,0.9695009568163279,0.9696114907901453,85.7,140
sgd,identity,[21],0.0612,0.923,0.9229155263084042,0.9216638562622087,0.9219311128947251,4.1,11
