network,conv_kernel_size,conv_stride,conv_padding,pool_kernel_size,pool_stride,dropout_prob,fit_time,precision,recall,f1_score,overall_accuracy ,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9,total_epochs,learning_rate
[],3.0,1.0,1.0,2.0,2.0,0.5,249.7,0.9790324182225656,0.979,0.9789889622814764,0.979,99.18367346938776,99.03083700440529,97.28682170542636,98.11881188118812,98.67617107942974,98.4304932735426,97.59916492693112,97.27626459143968,97.22792607802874,96.13478691774034,10.0,0.001
[],3.0,1.0,1.0,2.0,2.0,0.5,256.2,0.9803707087128126,0.9803,0.980292898582503,0.9803,99.3877551020408,99.38325991189429,96.80232558139537,98.21782178217822,98.4725050916497,97.75784753363229,97.91231732776616,97.95719844357976,97.94661190965093,96.33300297324084,10.0,0.001
[],5.0,1.0,2.0,2.0,2.0,0.3,485.0,0.9829294816088284,0.9829,0.9828986503756496,0.9829,99.18367346938776,99.47136563876651,98.15891472868218,98.6138613861386,98.16700610997964,98.20627802690584,98.01670146137788,97.37354085603113,98.15195071868582,97.42319127849356,10.0,0.001
[],3.0,1.0,1.0,2.0,2.0,0.7,238.8,0.9730715563022492,0.973,0.9729832008018332,0.973,99.18367346938776,99.11894273127751,96.22093023255816,98.11881188118812,97.65784114052953,97.30941704035874,97.49478079331942,96.01167315175095,96.2012320328542,95.54013875123886,10.0,0.001
[],3.0,1.0,1.0,2.0,2.0,0.5,110.1,0.9793241396455272,0.9793,0.9792949926935256,0.9793,98.9795918367347,99.29515418502203,97.38372093023256,98.11881188118812,98.26883910386965,98.09417040358744,97.7035490605428,96.59533073929961,97.43326488706366,97.32408325074331,10.0,0.001
[],5.0,1.0,2.0,2.0,2.0,0.3,123.2,0.9800502504628307,0.98,0.9799929250910231,0.98,98.57142857142857,99.29515418502203,97.86821705426357,98.61386138613861,97.9633401221996,98.65470852017937,98.22546972860125,96.20622568093385,97.12525667351129,97.42319127849356,10.0,0.001
[],3.0,1.0,1.0,2.0,2.0,0.7,143.4,0.9717113246293971,0.9716,0.971580678818892,0.9716,99.18367346938776,99.11894273127753,95.44573643410853,97.82178217821782,97.9633401221996,96.18834080717488,97.39039665970772,95.42801556420234,97.43326488706366,95.44103072348861,10.0,0.001
