,index,0,1,2,3,4,5,6,7
0,32,True,False,True,16,32,0.2,"[0.001534228678792715, 0.039372291415929794]","[1.4693569028167985e-06, 0.0012203691294416785]"
1,4,False,False,False,32,16,0.2,"[0.0012481004232540727, 0.035510580986738205]","[5.458515261125285e-06, 0.002338712103664875]"
2,7,False,False,True,16,16,0.2,"[0.0008127611945383251, 0.028654253110289574]","[8.958753824117593e-06, 0.0029976542573422194]"
3,5,False,False,False,32,32,0.2,"[0.0006180447526276112, 0.02498505264520645]","[2.048099304374773e-05, 0.0045251669362187386]"
4,8,False,False,True,16,32,0.2,"[0.0013110499130561948, 0.03639199584722519]","[2.2640046154265292e-05, 0.004760523792356253]"
5,29,True,False,False,32,32,0.2,"[0.000574099482037127, 0.024078764021396637]","[2.6162326321355067e-05, 0.0051177130080759525]"
6,11,False,False,True,32,32,0.2,"[0.000678490789141506, 0.02617659792304039]","[3.644115713541396e-05, 0.006035938858985901]"
7,6,False,False,True,16,8,0.2,"[0.0018334436463192105, 0.04303441196680069]","[4.099514990230091e-05, 0.00641076173633337]"
8,35,True,False,True,32,32,0.2,"[0.0007527307025156915, 0.02756657637655735]","[5.845133637194522e-05, 0.007648925296962261]"
9,1,False,False,False,16,16,0.2,"[0.00046432187082245946, 0.021643852815032005]","[6.968240631977096e-05, 0.00834763515740633]"
10,42,True,True,True,16,8,0.2,"[0.0010003525530919433, 0.03177553787827492]","[8.909844473237172e-05, 0.009441575035452843]"
11,17,False,True,False,32,32,0.2,"[0.0006126583903096616, 0.024858951568603516]","[0.00010339913569623604, 0.010169974528253078]"
12,21,False,True,True,32,8,0.2,"[0.0006990497931838036, 0.026553120464086533]","[0.0001264398597413674, 0.011241551488637924]"
13,10,False,False,True,32,16,0.2,"[0.000486026459839195, 0.02212553657591343]","[0.00014862246462143958, 0.01219191960990429]"
14,44,True,True,True,16,32,0.2,"[0.0013653229689225554, 0.03712267801165581]","[0.00016619301459286362, 0.012890120968222618]"
15,3,False,False,False,32,8,0.2,"[0.000637317483779043, 0.025343526154756546]","[0.00017229781951755285, 0.013124256394803524]"
16,40,True,True,False,32,16,0.2,"[0.0010710260830819607, 0.03286520391702652]","[0.00021678252960555255, 0.014723248779773712]"
17,20,False,True,True,16,32,0.2,"[0.0012514182599261403, 0.03552964702248573]","[0.00022989218996372074, 0.015160663053393364]"
18,23,False,True,True,32,32,0.2,"[0.0012886410113424063, 0.036045774817466736]","[0.00025771206128410995, 0.016058839857578278]"
19,33,True,False,True,32,8,0.2,"[0.00047241890570148826, 0.02179044485092163]","[0.0002657134900800884, 0.016297616064548492]"
20,16,False,True,False,32,16,0.2,"[0.000640676764305681, 0.025384828448295593]","[0.00028696510707959533, 0.01694081909954548]"
21,2,False,False,False,16,32,0.2,"[0.0009526298963464797, 0.030966343358159065]","[0.00036433778586797416, 0.019088082015514374]"
22,13,False,True,False,16,16,0.2,"[0.0009930641390383244, 0.03161726891994476]","[0.00038729081279598176, 0.019678933545947075]"
23,39,True,True,False,32,8,0.2,"[0.0006556298467330635, 0.025662798434495926]","[0.0003891053784172982, 0.01972223073244095]"
