,index,0,1,2,3,4,5,6,7
24,41,True,True,False,32,32,0.2,"[0.0010074505116790533, 0.0318412184715271]","[0.00038970334571786225, 0.019744109362363815]"
25,28,True,False,False,32,16,0.2,"[0.0012088799849152565, 0.034897755831480026]","[0.00042135006515309215, 0.02051337994635105]"
26,18,False,True,True,16,8,0.2,"[0.0008633428369648755, 0.029459349811077118]","[0.00042662923806346953, 0.020654194056987762]"
27,25,True,False,False,16,16,0.2,"[0.0009226431720890105, 0.030467642471194267]","[0.00043859033030457795, 0.020937981083989143]"
28,36,True,True,False,16,8,0.2,"[0.0009146963129751384, 0.030313681811094284]","[0.0005547156906686723, 0.023549916222691536]"
29,34,True,False,True,32,16,0.2,"[0.0009306071442551911, 0.030578508973121643]","[0.0005635120905935764, 0.023732181638479233]"
30,43,True,True,True,16,16,0.2,"[0.0014205639017745852, 0.0378117598593235]","[0.0005798224010504782, 0.024079106748104095]"
31,14,False,True,False,16,32,0.2,"[0.001238041091710329, 0.03528454154729843]","[0.0006334657082334161, 0.025165289640426636]"
32,24,True,False,False,16,8,0.2,"[0.0013591633178293705, 0.036974791437387466]","[0.0006807903992012143, 0.026085229590535164]"
33,47,True,True,True,32,32,0.2,"[0.0015377415111288428, 0.03932184353470802]","[0.0007196049555204809, 0.02683040127158165]"
34,38,True,True,False,16,32,0.2,"[0.0014822197845205665, 0.03859762102365494]","[0.0008581631700508296, 0.02928902581334114]"
35,22,False,True,True,32,16,0.2,"[0.0014379178173840046, 0.03799543157219887]","[0.0009091479005292058, 0.030153723433613777]"
36,19,False,True,True,16,16,0.2,"[0.0013982258969917893, 0.03746362403035164]","[0.0009894005488604307, 0.03144780173897743]"
37,15,False,True,False,32,8,0.2,"[0.0008358858176507056, 0.02887541987001896]","[0.0010626264847815037, 0.032596614211797714]"
38,45,True,True,True,32,8,0.2,"[0.001135102822445333, 0.03370140865445137]","[0.001138916239142418, 0.03374406322836876]"
39,26,True,False,False,16,32,0.2,"[0.0013582478277385235, 0.03690352290868759]","[0.001168779912404716, 0.034177813678979874]"
40,46,True,True,True,32,16,0.2,"[0.001957385800778866, 0.04432588070631027]","[0.0013210419565439224, 0.0363447479903698]"
41,9,False,False,True,32,8,0.2,"[0.001077131601050496, 0.03278110921382904]","[0.0013837128644809127, 0.037192702293395996]"
42,0,False,False,False,16,8,0.2,"[0.0009619998745620251, 0.030926980078220367]","[0.0015714463079348207, 0.039637114852666855]"
43,31,True,False,True,16,16,0.2,"[0.0016969882417470217, 0.04121949523687363]","[0.0016214242205023766, 0.040262069553136826]"
44,37,True,True,False,16,16,0.2,"[0.0017513270722702146, 0.0418052077293396]","[0.0023302987683564425, 0.04826391488313675]"
45,27,True,False,False,32,8,0.2,"[0.0011011995375156403, 0.032981839030981064]","[0.0025310665369033813, 0.050303030759096146]"
46,12,False,True,False,16,8,0.2,"[0.0019631206523627043, 0.04422244057059288]","[0.002775028347969055, 0.052676595747470856]"
47,30,True,False,True,16,8,0.2,"[0.002155787544324994, 0.046334680169820786]","[0.003101905109360814, 0.05569307878613472]"
