network,conv_kernel_size,conv_stride,conv_padding,pool_kernel_size,pool_stride,dropout_prob,fit_time,precision,recall,f1_score,overall_accuracy ,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9,total_epochs,learning_rate
[],3.0,1.0,1.0,2.0,2.0,0.5,249.7,0.9790324182225657,0.979,0.9789889622814764,0.979,99.18367346938776,99.03083700440529,97.28682170542636,98.11881188118812,98.67617107942974,98.4304932735426,97.59916492693111,97.27626459143968,97.22792607802874,96.13478691774034,10.0,0.001
[],3.0,1.0,1.0,2.0,2.0,0.5,256.2,0.9803707087128126,0.9803,0.980292898582503,0.9803,99.38775510204081,99.38325991189427,96.80232558139535,98.21782178217822,98.4725050916497,97.75784753363229,97.91231732776617,97.95719844357977,97.94661190965093,96.33300297324084,10.0,0.001
[],5.0,1.0,2.0,2.0,2.0,0.3,485.0,0.9829294816088284,0.9829,0.9828986503756496,0.9829,99.18367346938776,99.47136563876651,98.15891472868218,98.61386138613861,98.16700610997964,98.20627802690584,98.01670146137788,97.37354085603113,98.15195071868582,97.42319127849356,10.0,0.001
[],3.0,1.0,1.0,2.0,2.0,0.7,238.8,0.9730715563022492,0.973,0.9729832008018333,0.973,99.18367346938776,99.11894273127753,96.22093023255815,98.11881188118812,97.65784114052953,97.30941704035874,97.49478079331942,96.01167315175097,96.20123203285421,95.54013875123886,10.0,0.001
